i: 494, j:494, value: 1080.000000
i: 285, j:47, value: -14.204550
i: 48, j:48, value: 1682.985962
i: 205, j:48, value: -114.025101
i: 271, j:48, value: -1333.333008
i: 283, j:48, value: -180.180206
i: 306, j:48, value: -55.447739
i: 49, j:49, value: 65.393372
i: 50, j:49, value: -47.619049
i: 114, j:49, value: -6.009615
i: 455, j:49, value: -11.764710
i: 50, j:50, value: 168.412506
i: 238, j:50, value: -111.111099
i: 331, j:50, value: -5.076142
i: 442, j:50, value: -4.606173
i: 51, j:51, value: 39.446350
i: 82, j:51, value: -24.271839
i: 409, j:51, value: -15.174510
i: 52, j:52, value: 10.485000
i: 397, j:52, value: -4.819277
i: 53, j:53, value: 89.160843
i: 271, j:53, value: -37.878792
i: 310, j:53, value: -51.282051
i: 54, j:54, value: 14.702950
i: 162, j:54, value: -6.896552
i: 406, j:54, value: -7.806402
i: 55, j:55, value: 40.845951
i: 269, j:55, value: -21.978020
i: 363, j:55, value: -18.867929
i: 56, j:56, value: 20.844681
i: 124, j:56, value: -9.633911
i: 224, j:56, value: -11.210760
i: 57, j:57, value: 19.214609
i: 84, j:57, value: -14.409220
i: 58, j:58, value: 8.290816
i: 59, j:58, value: -6.250000
i: 60, j:58, value: -2.040816
i: 59, j:59, value: 63.998539
i: 347, j:59, value: -13.888890
i: 377, j:59, value: -43.859650
i: 60, j:60, value: 2.040816
i: 61, j:61, value: 25.706270
i: 332, j:61, value: -18.181820
i: 418, j:61, value: -7.524455
i: 62, j:62, value: 8.084074
i: 438, j:62, value: -8.084074
i: 63, j:63, value: 17.001381
i: 64, j:63, value: -0.670241
i: 89, j:63, value: -3.341130
i: 190, j:63, value: -9.523809
i: 394, j:63, value: -3.466204
i: 64, j:64, value: 0.670241
i: 65, j:65, value: 68.635109
i: 66, j:65, value: -56.179779
i: 428, j:65, value: -5.643341
i: 436, j:65, value: -6.811989
i: 66, j:66, value: 56.179779
i: 67, j:67, value: 794.435913
i: 69, j:67, value: -9.727627
i: 70, j:67, value: -714.285828
i: 71, j:67, value: -70.422531
i: 68, j:68, value: 63.740791
i: 70, j:68, value: -23.419201
i: 72, j:68, value: -15.076140
i: 73, j:68, value: -10.752690
i: 214, j:68, value: -14.492750
i: 69, j:69, value: 9.727627
i: 70, j:70, value: 898.173584
i: 71, j:70, value: -64.102570
i: 72, j:70, value: -8.467401
i: 142, j:70, value: -49.627789
i: 311, j:70, value: -15.015010
i: 320, j:70, value: -23.255810
i: 71, j:71, value: 309.751404
i: 74, j:71, value: -22.522520
i: 75, j:71, value: -22.522520
i: 76, j:71, value: -27.027031
i: 91, j:71, value: -57.471260
i: 353, j:71, value: -45.682961
i: 72, j:72, value: 44.659611
i: 212, j:72, value: -8.291874
i: 213, j:72, value: -8.424600
i: 440, j:72, value: -2.173913
i: 464, j:72, value: -2.225684
i: 73, j:73, value: 10.752690
i: 74, j:74, value: 22.522520
i: 75, j:75, value: 22.522520
i: 76, j:76, value: 27.027031
i: 77, j:77, value: 43.256962
i: 78, j:77, value: -11.627910
i: 187, j:77, value: -25.641029
i: 264, j:77, value: -5.988024
i: 78, j:78, value: 14.954860
i: 123, j:78, value: -1.324152
i: 265, j:78, value: -2.002804
i: 79, j:79, value: 59.783588
i: 80, j:79, value: -18.993349
i: 214, j:79, value: -18.518520
i: 421, j:79, value: -22.271721
i: 80, j:80, value: 76.989319
i: 147, j:80, value: -9.765625
i: 252, j:80, value: -3.332223
i: 355, j:80, value: -9.661836
i: 393, j:80, value: -33.333340
i: 437, j:80, value: -1.902950
i: 81, j:81, value: 54.865131
i: 396, j:81, value: -34.246571
i: 457, j:81, value: -20.618561
i: 82, j:82, value: 130.654800
i: 287, j:82, value: -106.383003
i: 83, j:83, value: 8.651169
i: 387, j:83, value: -4.880430
i: 423, j:83, value: -3.770739
i: 84, j:84, value: 18.529539
i: 173, j:84, value: -4.120313
i: 85, j:85, value: 318.494690
i: 88, j:85, value: -294.117615
i: 116, j:85, value: -14.025250
i: 275, j:85, value: -3.544842
i: 454, j:85, value: -3.039514
i: 86, j:86, value: 11.614400
i: 88, j:86, value: -11.614400
i: 87, j:87, value: 55.873020
i: 88, j:87, value: -40.000000
i: 236, j:87, value: -15.873020
i: 88, j:88, value: 345.732086
i: 89, j:89, value: 8.151134
i: 326, j:89, value: -4.810005
i: 90, j:90, value: 215.090103
i: 91, j:90, value: -125.000000
i: 386, j:90, value: -90.090103
i: 91, j:91, value: 295.428497
i: 93, j:91, value: -38.759689
i: 94, j:91, value: -38.910511
i: 95, j:91, value: -11.534030
i: 371, j:91, value: -23.752970
i: 92, j:92, value: 79.781509
i: 95, j:92, value: -74.626869
i: 387, j:92, value: -5.154639
i: 93, j:93, value: 38.759689
i: 94, j:94, value: 38.910511
i: 95, j:95, value: 94.053558
i: 96, j:95, value: -7.892660
i: 96, j:96, value: 7.892660
i: 97, j:97, value: 17.551331
i: 326, j:97, value: -10.799140
i: 422, j:97, value: -6.752194
i: 98, j:98, value: 15.573290
i: 150, j:98, value: -5.892752
i: 156, j:98, value: -9.680542
i: 99, j:99, value: 76.271187
i: 224, j:99, value: -33.898300
i: 100, j:100, value: 1230.337036
i: 158, j:100, value: -116.279099
i: 220, j:100, value: -769.230774
i: 391, j:100, value: -344.827606
i: 101, j:101, value: 26.041670
i: 102, j:101, value: -26.041670
i: 102, j:102, value: 79.669891
i: 178, j:102, value: -22.471910
i: 233, j:102, value: -10.000000
i: 286, j:102, value: -9.165903
i: 103, j:103, value: 104.404999
i: 306, j:103, value: -55.648300
i: 429, j:103, value: -48.756710
i: 104, j:104, value: 85.535789
i: 105, j:104, value: -4.716981
i: 191, j:104, value: -17.793591
i: 257, j:104, value: -18.382351
i: 263, j:104, value: -44.642860
i: 105, j:105, value: 4.716981
i: 106, j:106, value: 14.409220
i: 255, j:106, value: -14.409220
i: 107, j:107, value: 41.132950
i: 246, j:107, value: -20.080320
i: 334, j:107, value: -21.052629
i: 108, j:108, value: 91.694527
i: 191, j:108, value: -72.463768
i: 380, j:108, value: -19.230770
i: 109, j:109, value: 9.784736
i: 112, j:109, value: -9.784736
i: 110, j:110, value: 1.029866
i: 112, j:110, value: -1.029866
i: 111, j:111, value: 2.164502
i: 112, j:111, value: -2.164502
i: 112, j:112, value: 26.689960
i: 123, j:112, value: -3.492840
i: 179, j:112, value: -6.802721
i: 298, j:112, value: -3.415300
i: 113, j:113, value: 140.110504
i: 263, j:113, value: -36.764709
i: 337, j:113, value: -37.313431
i: 378, j:113, value: -46.948360
i: 416, j:113, value: -19.083969
i: 114, j:114, value: 14.010440
i: 115, j:114, value: -2.604167
i: 285, j:114, value: -5.396654
i: 115, j:115, value: 13.984830
i: 354, j:115, value: -3.380663
i: 116, j:116, value: 32.240181
i: 117, j:116, value: -18.214939
i: 117, j:117, value: 36.767811
i: 119, j:117, value: -18.552879
i: 118, j:118, value: 29.756330
i: 124, j:118, value: -19.083969
i: 346, j:118, value: -10.672360
i: 119, j:119, value: 28.715481
i: 346, j:119, value: -10.162600
i: 120, j:120, value: 176.923096
i: 429, j:120, value: -76.923073
i: 121, j:121, value: 16.949150
i: 123, j:121, value: -16.949150
i: 122, j:122, value: 33.941959
i: 123, j:122, value: -5.783690
i: 187, j:122, value: -12.903230
i: 264, j:122, value: -9.633911
i: 297, j:122, value: -5.621135
i: 123, j:123, value: 38.087051
i: 179, j:123, value: -7.518797
i: 265, j:123, value: -3.018412
i: 124, j:124, value: 28.717880
i: 125, j:125, value: 3.294893
i: 126, j:125, value: -3.294893
i: 126, j:126, value: 10.283010
i: 385, j:126, value: -6.988121
i: 127, j:127, value: 39.109089
i: 129, j:127, value: -19.841270
i: 226, j:127, value: -19.267820
i: 128, j:128, value: 56.252831
i: 225, j:128, value: -18.939390
i: 438, j:128, value: -37.313431
i: 129, j:129, value: 19.841270
i: 130, j:130, value: 15.974440
i: 141, j:130, value: -15.974440
i: 131, j:131, value: 15.974440
i: 141, j:131, value: -15.974440
i: 132, j:132, value: 18.382351
i: 141, j:132, value: -18.382351
i: 133, j:133, value: 62.111801
i: 142, j:133, value: -62.111801
i: 134, j:134, value: 54.347820
i: 143, j:134, value: -54.347820
i: 135, j:135, value: 22.573360
i: 140, j:135, value: -22.573360
i: 136, j:136, value: 405.785187
i: 141, j:136, value: -333.333313
i: 142, j:136, value: -59.171600
i: 144, j:136, value: -13.280210
i: 137, j:137, value: 444.034088
i: 141, j:137, value: -370.370392
i: 142, j:137, value: -60.240959
i: 145, j:137, value: -13.422820
i: 138, j:138, value: 125.490196
i: 199, j:138, value: -58.823521
i: 340, j:138, value: -66.666672
i: 139, j:139, value: 13.568520
i: 147, j:139, value: -13.568520
i: 140, j:140, value: 173.033707
i: 141, j:141, value: 754.034912
i: 142, j:142, value: 643.315430
i: 143, j:142, value: -188.679199
i: 473, j:142, value: -188.679199
i: 478, j:142, value: -12.180270
i: 487, j:142, value: -22.624439
i: 143, j:143, value: 274.582794
i: 242, j:143, value: -31.555691
i: 144, j:144, value: 13.280210
i: 145, j:145, value: 13.422820
i: 146, j:146, value: 86.175743
i: 183, j:146, value: -8.576329
i: 245, j:146, value: -6.878052
i: 339, j:146, value: -70.721359
i: 147, j:147, value: 31.895790
i: 148, j:148, value: 19.607840
i: 434, j:148, value: -9.803922
i: 443, j:148, value: -9.803922
i: 149, j:149, value: 36.061352
i: 150, j:149, value: -20.607790
i: 217, j:149, value: -15.453560
i: 150, j:150, value: 38.128269
i: 397, j:150, value: -10.101010
i: 151, j:151, value: 52.868481
i: 153, j:151, value: -5.371435
i: 154, j:151, value: -2.452002
i: 155, j:151, value: -45.045052
i: 152, j:152, value: 55.509491
i: 153, j:152, value: -5.443658
i: 154, j:152, value: -2.446783
i: 155, j:152, value: -47.619049
i: 153, j:153, value: 29.860069
i: 203, j:153, value: -15.625000
i: 154, j:154, value: 4.898785
i: 155, j:155, value: 218.720901
i: 241, j:155, value: -17.361111
i: 156, j:156, value: 10009.679688
i: 157, j:156, value: -10000.000000
i: 157, j:157, value: 10004.740234
i: 158, j:158, value: 410.396698
i: 159, j:159, value: 95.742790
i: 160, j:159, value: -40.734680
i: 183, j:159, value: -10.023050
i: 248, j:159, value: -21.168501
i: 388, j:159, value: -16.463619
i: 392, j:159, value: -7.352941
i: 160, j:160, value: 202.014999
i: 369, j:160, value: -19.436350
i: 399, j:160, value: -141.843994
i: 161, j:161, value: 2.209945
i: 410, j:161, value: -2.209945
i: 162, j:162, value: 8.668659
i: 355, j:162, value: -1.772107
i: 163, j:163, value: 132.412598
i: 167, j:163, value: -22.522520
i: 246, j:163, value: -109.890099
i: 164, j:164, value: 1076.970947
i: 167, j:164, value: -999.999878
i: 231, j:164, value: -15.598190
i: 417, j:164, value: -27.359779
i: 470, j:164, value: -34.013599
i: 165, j:165, value: 2.619172
i: 166, j:166, value: 11.866090
i: 341, j:166, value: -8.071025
i: 423, j:166, value: -3.795066
i: 167, j:167, value: 1022.521973
i: 168, j:168, value: 66.800270
i: 169, j:168, value: -66.800270
i: 169, j:169, value: 77.049896
i: 344, j:169, value: -4.973145
i: 400, j:169, value: -5.276488
i: 170, j:170, value: 179.166702
i: 325, j:170, value: -166.666702
i: 171, j:171, value: 76.923073
i: 172, j:171, value: -76.923073
i: 172, j:172, value: 111.766296
i: 173, j:173, value: 618.791016
i: 202, j:173, value: -19.432570
i: 174, j:174, value: 41.110851
i: 175, j:174, value: -9.242133
i: 285, j:174, value: -25.575451
i: 175, j:175, value: 41.500198
i: 176, j:176, value: 3.676470
i: 464, j:176, value: -3.676470
i: 177, j:177, value: 5.420054
i: 226, j:177, value: -5.420054
i: 178, j:178, value: 36.943691
i: 340, j:178, value: -14.471780
i: 179, j:179, value: 14.321520
i: 180, j:180, value: 14.641290
i: 181, j:180, value: -14.641290
i: 181, j:181, value: 89.829262
i: 233, j:181, value: -75.187973
i: 182, j:182, value: 17.094021
i: 183, j:183, value: 48.701149
i: 184, j:183, value: -3.319943
i: 185, j:183, value: -10.176050
i: 248, j:183, value: -16.605780
i: 184, j:184, value: 3.319943
i: 185, j:185, value: 10.176050
i: 186, j:186, value: 14.294920
i: 187, j:187, value: 38.544250
i: 188, j:188, value: 4.097813
i: 198, j:188, value: -2.428363
i: 212, j:188, value: -1.669449
i: 189, j:189, value: 0.170358
i: 190, j:189, value: -0.170358
i: 190, j:190, value: 12.439160
i: 401, j:190, value: -2.744990
i: 191, j:191, value: 209.335800
i: 192, j:191, value: -8.000000
i: 195, j:191, value: -12.014900
i: 196, j:191, value: -17.844400
i: 374, j:191, value: -30.487801
i: 380, j:191, value: -14.168320
i: 416, j:191, value: -36.563068
i: 192, j:192, value: 29.547831
i: 193, j:192, value: -10.200960
i: 194, j:192, value: -11.346870
i: 193, j:193, value: 10.200960
i: 194, j:194, value: 11.346870
i: 195, j:195, value: 12.014900
i: 196, j:196, value: 17.844400
i: 197, j:197, value: 28.498320
i: 465, j:197, value: -18.315020
i: 198, j:198, value: 10.611670
i: 201, j:198, value: -8.183307
i: 199, j:199, value: 101.376701
i: 364, j:199, value: -42.553188
i: 200, j:200, value: 4.805382
i: 280, j:200, value: -4.805382
i: 201, j:201, value: 8.183307
i: 202, j:202, value: 40.313759
i: 247, j:202, value: -20.881189
i: 203, j:203, value: 124.789200
i: 297, j:203, value: -104.166702
i: 204, j:204, value: 1214.532959
i: 205, j:204, value: -1123.594971
i: 206, j:204, value: -5.758379
i: 207, j:204, value: -85.178879
i: 205, j:205, value: 1543.608032
i: 208, j:205, value: -15.498710
i: 283, j:205, value: -93.283577
i: 357, j:205, value: -53.106750
i: 369, j:205, value: -16.871941
i: 206, j:206, value: 5.758379
i: 207, j:207, value: 149.570404
i: 278, j:207, value: -64.391487
i: 208, j:208, value: 21.777361
i: 209, j:208, value: -6.278646
i: 209, j:209, value: 6.278646
i: 210, j:210, value: 8.795074
i: 211, j:210, value: -8.795074
i: 211, j:211, value: 45.570148
i: 457, j:211, value: -20.876829
i: 465, j:211, value: -15.898250
i: 212, j:212, value: 9.961323
i: 213, j:213, value: 16.737150
i: 444, j:213, value: -8.312551
i: 214, j:214, value: 33.011269
i: 215, j:215, value: 10.294730
i: 390, j:215, value: -5.701254
i: 440, j:215, value: -4.593477
i: 216, j:216, value: 243.995102
i: 217, j:216, value: -181.818207
i: 218, j:216, value: -11.415530
i: 219, j:216, value: -50.761421
i: 217, j:217, value: 278.138397
i: 277, j:217, value: -46.663559
i: 286, j:217, value: -5.467469
i: 429, j:217, value: -28.735630
i: 218, j:218, value: 11.415530
i: 219, j:219, value: 77.571083
i: 235, j:219, value: -26.809650
i: 220, j:220, value: 978.008301
i: 271, j:220, value: -59.523811
i: 449, j:220, value: -149.253693
i: 221, j:221, value: 14.175270
i: 367, j:221, value: -10.504200
i: 464, j:221, value: -3.671072
i: 222, j:222, value: 24.752131
i: 240, j:222, value: -3.993610
i: 436, j:222, value: -7.153076
i: 223, j:223, value: 27.514139
i: 345, j:223, value: -14.705880
i: 398, j:223, value: -5.711022
i: 407, j:223, value: -7.097232
i: 224, j:224, value: 74.143997
i: 377, j:224, value: -24.390240
i: 454, j:224, value: -4.644682
i: 225, j:225, value: 238.167404
i: 226, j:225, value: -200.000000
i: 282, j:225, value: -8.116883
i: 377, j:225, value: -11.111110
i: 226, j:226, value: 224.687897
i: 227, j:227, value: 15.243900
i: 228, j:227, value: -15.243900
i: 228, j:228, value: 19.758579
i: 420, j:228, value: -4.514673
i: 229, j:229, value: 36.496349
i: 230, j:229, value: -36.496349
i: 230, j:230, value: 95.454163
i: 315, j:230, value: -55.248619
i: 436, j:230, value: -3.709199
i: 231, j:231, value: 100.692703
i: 386, j:231, value: -19.305019
i: 473, j:231, value: -65.789467
i: 232, j:232, value: 329.623108
i: 233, j:232, value: -200.000000
i: 234, j:232, value: -11.976050
i: 235, j:232, value: -117.647003
i: 233, j:233, value: 285.187988
i: 234, j:234, value: 11.976050
i: 235, j:235, value: 144.456696
i: 236, j:236, value: 165.723801
i: 301, j:236, value: -62.208401
i: 399, j:236, value: -87.642418
i: 237, j:237, value: 82.188438
i: 300, j:237, value: -58.004639
i: 308, j:237, value: -24.183800
i: 238, j:238, value: 151.433701
i: 294, j:238, value: -40.322578
i: 239, j:239, value: 48.515160
i: 322, j:239, value: -4.462294
i: 240, j:240, value: 8.230898
i: 422, j:240, value: -4.237288
i: 241, j:241, value: 26.750780
i: 329, j:241, value: -9.389671
i: 242, j:242, value: 329.219391
i: 258, j:242, value: -186.567200
i: 431, j:242, value: -38.580250
i: 480, j:242, value: -72.516312
i: 243, j:243, value: 28.624241
i: 244, j:243, value: -27.173910
i: 309, j:243, value: -1.450326
i: 244, j:244, value: 27.173910
i: 245, j:245, value: 36.980400
i: 300, j:245, value: -30.102350
i: 246, j:246, value: 129.970398
i: 247, j:247, value: 99.006187
i: 333, j:247, value: -78.125000
i: 248, j:248, value: 45.486759
i: 249, j:248, value: -7.712479
i: 249, j:249, value: 20007.710938
i: 250, j:249, value: -10000.000000
i: 251, j:249, value: -10000.000000
i: 250, j:250, value: 10000.000000
i: 251, j:251, value: 10000.000000
i: 252, j:252, value: 10.845370
i: 363, j:252, value: -7.513148
i: 253, j:253, value: 14.756760
i: 256, j:253, value: -8.000000
i: 254, j:254, value: 1.459854
i: 256, j:254, value: -1.459854
i: 255, j:255, value: 103.428802
i: 256, j:255, value: -40.000000
i: 385, j:255, value: -49.019611
i: 256, j:256, value: 49.459850
i: 257, j:257, value: 141.792297
i: 266, j:257, value: -10.967320
i: 336, j:257, value: -22.271721
i: 402, j:257, value: -48.154091
i: 427, j:257, value: -42.016811
i: 258, j:258, value: 545.168396
i: 259, j:258, value: -90.744102
i: 260, j:258, value: -90.009003
i: 261, j:258, value: -89.126556
i: 431, j:258, value: -28.661510
i: 466, j:258, value: -60.060059
i: 259, j:259, value: 90.744102
i: 260, j:260, value: 90.009003
i: 261, j:261, value: 89.126556
i: 262, j:262, value: 204.904404
i: 443, j:262, value: -4.904365
i: 263, j:263, value: 172.726196
i: 336, j:263, value: -63.694271
i: 378, j:263, value: -27.624310
i: 264, j:264, value: 26.741800
i: 265, j:264, value: -5.783690
i: 265, j:265, value: 10.804910
i: 266, j:266, value: 10.967320
i: 267, j:267, value: 12.330010
i: 407, j:267, value: -8.278146
i: 268, j:268, value: 6.802721
i: 269, j:268, value: -6.802721
i: 269, j:269, value: 33.414661
i: 422, j:269, value: -4.633920
i: 270, j:270, value: 146.164200
i: 372, j:270, value: -72.254333
i: 404, j:270, value: -73.909828
i: 271, j:271, value: 1493.041016
i: 272, j:271, value: -17.241381
i: 310, j:271, value: -26.881720
i: 377, j:271, value: -18.181820
i: 272, j:272, value: 43.925949
i: 273, j:272, value: -13.315580
i: 274, j:272, value: -13.368980
i: 273, j:273, value: 13.315580
i: 274, j:274, value: 13.368980
i: 275, j:275, value: 27.820971
i: 345, j:275, value: -9.541985
i: 375, j:275, value: -8.340283
i: 407, j:275, value: -6.393862
i: 276, j:276, value: 12.322530
i: 315, j:276, value: -4.677269
i: 394, j:276, value: -7.645260
i: 277, j:277, value: 278.513092
i: 432, j:277, value: -81.699348
i: 278, j:278, value: 273.046600
i: 279, j:278, value: -86.206886
i: 431, j:278, value: -104.166702
i: 479, j:278, value: -18.281540
i: 279, j:279, value: 86.206886
i: 280, j:280, value: 15.758280
i: 281, j:280, value: -10.952900
i: 281, j:281, value: 42.065781
i: 282, j:282, value: 8.116883
i: 283, j:283, value: 273.463806
i: 284, j:284, value: 39.028030
i: 285, j:284, value: -3.492840
i: 287, j:284, value: -18.083179
i: 288, j:284, value: -17.452009
i: 285, j:285, value: 151.971893
i: 289, j:285, value: -49.019611
i: 290, j:285, value: -49.019611
i: 286, j:286, value: 65.028084
i: 289, j:286, value: -5.966587
i: 290, j:286, value: -5.966587
i: 287, j:287, value: 124.466202
i: 288, j:288, value: 17.452009
i: 289, j:289, value: 59.067829
i: 291, j:289, value: -4.081633
i: 290, j:290, value: 59.067829
i: 292, j:290, value: -4.081633
i: 291, j:291, value: 4.081633
i: 292, j:292, value: 4.081633
i: 293, j:293, value: 10.799140
i: 294, j:293, value: -10.799140
i: 294, j:294, value: 81.424744
i: 419, j:294, value: -30.303030
i: 295, j:295, value: 39.062500
i: 447, j:295, value: -39.062500
i: 296, j:296, value: 507.685791
i: 297, j:296, value: -5.681818
i: 298, j:296, value: -500.000000
i: 299, j:296, value: -2.004008
i: 297, j:297, value: 328.235596
i: 456, j:297, value: -212.766006
i: 298, j:298, value: 503.415314
i: 299, j:299, value: 2.004008
i: 300, j:300, value: 100.909401
i: 372, j:300, value: -12.802460
i: 301, j:301, value: 5112.384766
i: 302, j:301, value: -2000.000000
i: 304, j:301, value: -2000.000000
i: 306, j:301, value: -500.000000
i: 310, j:301, value: -500.000000
i: 323, j:301, value: -8.510638
i: 429, j:301, value: -41.666672
i: 302, j:302, value: 2077.785889
i: 303, j:302, value: -11.560690
i: 493, j:302, value: -66.225166
i: 303, j:303, value: 11.560690
i: 304, j:304, value: 2077.785889
i: 305, j:304, value: -11.560690
i: 494, j:304, value: -66.225166
i: 305, j:305, value: 11.560690
i: 306, j:306, value: 1166.651978
i: 310, j:306, value: -555.555481
i: 307, j:307, value: 17.597931
i: 434, j:307, value: -13.210040
i: 308, j:308, value: 57.285419
i: 373, j:308, value: -33.101620
i: 309, j:309, value: 46.699200
i: 409, j:309, value: -45.248871
i: 310, j:310, value: 2286.153076
i: 317, j:310, value: -370.370392
i: 318, j:310, value: -370.370392
i: 319, j:310, value: -370.370392
i: 391, j:310, value: -41.322319
i: 311, j:311, value: 238.110794
i: 317, j:311, value: -60.240959
i: 318, j:311, value: -60.240959
i: 319, j:311, value: -60.240959
i: 320, j:311, value: -42.372879
i: 312, j:312, value: 13.422820
i: 317, j:312, value: -13.422820
i: 313, j:313, value: 13.422820
i: 318, j:313, value: -13.422820
i: 314, j:314, value: 13.422820
i: 319, j:314, value: -13.422820
i: 315, j:315, value: 59.925880
i: 316, j:316, value: 9.660813
i: 428, j:316, value: -6.435007
i: 317, j:317, value: 444.034088
i: 318, j:318, value: 444.034088
i: 319, j:319, value: 444.034088
i: 320, j:320, value: 69.474854
i: 321, j:320, value: -3.846154
i: 321, j:321, value: 13.564330
i: 401, j:321, value: -9.718173
i: 322, j:322, value: 16.510490
i: 323, j:322, value: -12.048190
i: 323, j:323, value: 10029.629883
i: 340, j:323, value: -9.074409
i: 435, j:323, value: -10000.000000
i: 324, j:324, value: 18.181820
i: 325, j:324, value: -18.181820
i: 325, j:325, value: 1295.958984
i: 326, j:326, value: 15.609140
i: 327, j:327, value: 3.105590
i: 328, j:327, value: -3.105590
i: 328, j:328, value: 1120.004028
i: 329, j:329, value: 74.324738
i: 396, j:329, value: -64.935066
i: 330, j:330, value: 4.587156
i: 331, j:330, value: -4.587156
i: 331, j:331, value: 9.663299
i: 332, j:332, value: 23.896099
i: 335, j:332, value: -5.714286
i: 333, j:333, value: 92.809288
i: 392, j:333, value: -14.684290
i: 334, j:334, value: 49.871078
i: 335, j:335, value: 12.233190
i: 434, j:335, value: -6.518905
i: 336, j:336, value: 85.965988
i: 337, j:337, value: 81.956299
i: 343, j:337, value: -44.642860
i: 338, j:338, value: 2.164502
i: 394, j:338, value: -2.164502
i: 339, j:339, value: 74.335907
i: 342, j:339, value: -3.614545
i: 340, j:340, value: 90.212860
i: 341, j:341, value: 10.469110
i: 423, j:341, value: -2.398082
